City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
96,Souillac,MU,79.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
97,Alghero,IT,46.99,clear sky,40.5589,8.3181,Villa Las Tronas Hotel & Spa
98,Gualaceo,EC,74.86,light rain,-2.9,-78.7833,Arhaná Hosteria Resort
100,Bengkulu,ID,76.39,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
101,Mahebourg,MU,79.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
102,Constitucion,CL,61.36,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
107,Castro,BR,83.79,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
109,Mercedes,AR,88.52,broken clouds,-34.6515,-59.4307,Posada del Inti Centro
114,Cidreira,BR,72.55,scattered clouds,-30.1811,-50.2056,Hotel Castelo
116,Mega,ET,63.45,scattered clouds,4.05,38.3,Amanuel Guest House
117,Ormara,PK,73.24,scattered clouds,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
118,Victoria,HK,69.85,clear sky,22.2855,114.1577,Mini Hotel Central
119,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
120,Saint-Philippe,RE,78.35,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
123,Pacific Grove,US,56.37,clear sky,36.6177,-121.9166,Lovers Point Inn
124,Bambous Virieux,MU,79.21,light rain,-20.3428,57.7575,Casa Tia Villa
125,Nsanje,MW,88.05,overcast clouds,-16.92,35.262,Nsanje Discovery Lodge
126,Los Llanos De Aridane,ES,64.15,broken clouds,28.6585,-17.9182,Valle Aridane
129,San Patricio,US,66.29,scattered clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
130,Buchanan,LR,80.56,overcast clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
131,Marrakesh,MA,69.87,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
135,Karaton,ID,77.16,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
137,Wanning,CN,71.42,overcast clouds,18.8003,110.3967,Paradise Hotel
140,Caruray,PH,79.86,broken clouds,10.3094,119.0128,
142,Bathsheba,BB,84.81,broken clouds,13.2167,-59.5167,Atlantis Hotel
143,Buala,SB,80.82,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
144,Statesboro,US,78.24,broken clouds,32.4488,-81.7832,"Holiday Inn Statesboro-University Area, an IHG Hotel"
145,Bossangoa,CF,81.09,overcast clouds,6.4926,17.4552,LA PERLE DE BOSTON
146,Sri Aman,MY,77.09,light rain,1.2376,111.4621,Seri Simanggang Hotel
148,Ponta Do Sol,PT,68.0,few clouds,32.6667,-17.1,Hotel do Campo
150,Vilcun,CL,59.74,overcast clouds,-38.65,-72.2333,"Rayen-Co, Rural Tourism"
151,Sun City West,US,62.11,clear sky,33.662,-112.3413,
152,Manokwari,ID,79.56,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
154,Praia Da Vitoria,PT,65.75,scattered clouds,38.7333,-27.0667,Hotel Branco I
157,Damaturu,NG,78.6,scattered clouds,11.747,11.9608,"Hayas Guest Inn, Central Roundabout, Gujba Road"
158,Oxford,GB,49.62,drizzle,51.7522,-1.256,Malmaison Oxford
159,Mitu,CO,89.55,overcast clouds,1.1983,-70.1733,
160,Kruisfontein,ZA,65.88,broken clouds,-34.0033,24.7314,Oyster Bay House Rental
161,Avera,US,73.06,overcast clouds,33.194,-82.5271,
164,Madison Heights,US,49.95,broken clouds,42.4859,-83.1052,Red Roof Inn Detroit - Warren
166,Dunedin,NZ,48.79,scattered clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
167,Muroto,JP,59.34,few clouds,33.2833,134.15,Oota Ryokan
169,Butaritari,KI,82.67,broken clouds,3.0707,172.7902,Isles Sunset Lodge
170,Paracuru,BR,87.82,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
171,Yarmouth,US,62.46,mist,41.7057,-70.2286,Blue Rock Resort
172,Boa Vista,BR,84.18,light rain,2.8197,-60.6733,Aipana Plaza Hotel
173,Timbiqui,CO,73.78,heavy intensity rain,2.7717,-77.6654,hotel diana
174,Bouza,NE,77.5,few clouds,14.4229,6.0428,
176,Maputo,MZ,80.28,broken clouds,-25.9653,32.5892,Pestana Rovuma
179,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
181,Takoradi,GH,81.64,broken clouds,4.8845,-1.7554,Raybow International Hotel
183,New Norfolk,AU,49.71,broken clouds,-42.7826,147.0587,The Shingles Riverside Cottages
184,Punta Arenas,CL,60.82,broken clouds,-53.15,-70.9167,Hotel Hain
185,Syracuse,IT,57.31,few clouds,37.0881,15.2792,Hotel Posta
186,Kavieng,PG,82.94,moderate rain,-2.5744,150.7967,Nusa Island Retreat
187,Hambantota,LK,79.18,scattered clouds,6.1241,81.1185,Bungalow 63
188,Pontes E Lacerda,BR,84.85,overcast clouds,-15.2261,-59.3353,Hotel Bressan
190,Bonthe,SL,83.17,broken clouds,7.5264,-12.505,Bonthe Holiday Village
193,Coquimbo,CL,67.73,few clouds,-29.9533,-71.3436,Punto de encuentro
194,Chuy,UY,73.94,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
196,Klaksvik,FO,45.52,overcast clouds,62.2266,-6.589,Airbnb rooms
197,Rio Gallegos,AR,53.65,broken clouds,-51.6226,-69.2181,Hotel Santa Cruz
198,Margate,GB,46.31,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
199,Lexington,US,51.8,overcast clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
200,Todos Santos,MX,78.01,broken clouds,23.45,-110.2167,Hotel California Todos Santos
201,Abnub,EG,66.42,overcast clouds,27.2696,31.1511,Romany Adly Gad
202,Vao,NC,78.58,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
203,Fortuna,US,51.1,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
204,Lagoa,PT,64.22,overcast clouds,39.05,-27.9833,Casa Das Faias
207,Trinidad,BO,76.98,thunderstorm,-14.8333,-64.9,Hotel Piesta
210,Charters Towers,AU,75.6,scattered clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
211,Bouca,CF,82.0,overcast clouds,6.5105,18.2733,
213,Kaitangata,NZ,48.92,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
215,Vila Velha,BR,85.95,scattered clouds,-20.3297,-40.2925,Quality Suites Vila Velha
216,Mulege,MX,69.33,broken clouds,26.8833,-111.9833,Casa Granada
217,Arua,UG,73.24,broken clouds,3.0201,30.9111,Golden Courts Hotel
218,Lhokseumawe,ID,77.41,broken clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
219,Mackay,AU,75.18,overcast clouds,-21.15,149.2,International Lodge Motel
222,Eyl,SO,77.92,few clouds,7.9803,49.8164,Amiin Hotel
223,Arani,IN,72.5,few clouds,12.6667,79.2833,KPK LODGE
225,Jiwani,PK,73.4,scattered clouds,25.05,61.7417,Al Mumtaz Transport Jiwani
227,Manuk Mangkaw,PH,81.91,overcast clouds,4.8,119.85,
228,Cabo San Lucas,MX,78.51,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
229,Balkanabat,TM,51.4,clear sky,39.5108,54.3671,Nebitchi Hotel
230,Pisco,PE,71.65,broken clouds,-13.7,-76.2167,Hotel San Isidro Oficial
231,Port Hedland,AU,82.45,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
232,Nuevo Imperial,PE,73.02,broken clouds,-13.0754,-76.3172,Hotel Konford
233,Lima,PE,68.25,overcast clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
234,Jacqueville,CI,84.11,broken clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
235,Bria,CF,81.73,overcast clouds,6.5423,21.9863,WFP Guesthouse
237,Mumbwa,ZM,84.74,broken clouds,-14.9783,27.0619,Mumbwa Motel
238,Tiznit,MA,62.6,clear sky,29.5833,-9.5,
241,Esperance,AU,58.84,clear sky,-33.8667,121.9,Hospitality Esperance
