City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
499,Ulaanbaatar,MN,47.9077,106.8832,-12.87,70,0,0.0,clear sky
500,Petatlan,MX,17.5167,-101.2667,85.93,60,58,6.35,broken clouds
501,San Carlos De Bariloche,AR,-41.1456,-71.3082,55.15,44,40,35.68,scattered clouds
502,Talnakh,RU,69.4865,88.3972,-26.34,83,79,3.18,broken clouds
503,Hollola,FI,61.05,25.4333,25.02,97,100,7.76,overcast clouds
504,Taltal,CL,-25.4,-70.4833,66.18,68,21,8.21,few clouds
505,Nemuro,JP,43.3236,145.575,40.96,71,10,13.78,clear sky
506,Henties Bay,NA,-22.116,14.2845,63.86,84,15,9.71,few clouds
507,Santa Adelia,BR,-21.2428,-48.8042,89.26,30,65,3.67,broken clouds
508,North Bend,US,43.4065,-124.2243,50.92,95,100,3.0,overcast clouds
509,Chodavaram,IN,17.8333,82.95,78.64,91,28,3.13,scattered clouds
510,Alta Floresta,BR,-9.8756,-56.0861,87.62,66,40,4.61,scattered clouds
511,Mecca,SA,21.4267,39.8261,75.67,75,58,2.82,broken clouds
512,Belaya Gora,RU,68.5333,146.4167,-46.37,93,68,0.76,broken clouds
513,Sechura,PE,-5.5569,-80.8222,78.94,60,84,7.78,broken clouds
514,Leshukonskoye,RU,64.8989,45.7622,14.11,82,91,10.4,overcast clouds
515,Plainview,US,40.7765,-73.4673,60.51,83,100,7.0,overcast clouds
516,Davidson,US,36.1501,-86.7833,59.13,68,100,8.01,overcast clouds
517,Hobyo,SO,5.3505,48.5268,78.78,78,9,17.4,clear sky
518,Alice Springs,AU,-23.7,133.8833,62.15,55,0,0.0,clear sky
519,Eureka,US,40.8021,-124.1637,51.37,72,98,8.99,overcast clouds
520,Pochutla,MX,15.7432,-96.4661,89.82,49,20,7.34,few clouds
521,Eucaliptus,BO,-17.5833,-67.5167,58.69,31,91,8.95,overcast clouds
522,Veraval,IN,20.9,70.3667,75.87,60,0,5.19,clear sky
523,Saint-Pierre,RE,-21.3393,55.4781,78.44,83,77,5.75,broken clouds
524,San Manuel,PH,17.0238,121.6357,72.75,91,97,5.64,overcast clouds
525,Lubango,AO,-14.9172,13.4925,67.15,72,97,6.6,light rain
526,Ostrovnoy,RU,68.0531,39.5131,24.21,94,100,19.51,light snow
527,Vila Do Maio,CV,15.1333,-23.2167,77.79,69,79,13.4,broken clouds
528,Jinji,CN,23.2281,110.8261,63.64,67,8,1.57,clear sky
529,Banda Aceh,ID,5.5577,95.3222,78.04,86,18,12.59,few clouds
530,Jinchang,CN,38.4953,102.1739,24.19,46,48,3.18,scattered clouds
531,Neuquen,AR,-38.9516,-68.0591,80.49,21,0,11.5,clear sky
532,Dingle,PH,10.9995,122.6711,75.85,93,71,8.34,broken clouds
533,Aljezur,PT,37.3191,-8.8033,59.49,82,25,8.57,scattered clouds
534,Eltham,NZ,-39.4292,174.3,61.18,97,100,1.99,light rain
535,Vredendal,ZA,-31.6683,18.5012,65.68,63,19,11.83,few clouds
536,Kununurra,AU,-15.7667,128.7333,80.58,83,78,0.0,broken clouds
537,Moose Factory,CA,51.2585,-80.6094,24.8,86,90,9.22,light snow
538,Jinan,CN,36.6683,116.9972,43.59,37,100,12.1,overcast clouds
539,Bestobe,KZ,52.4994,73.0975,13.03,89,100,7.14,overcast clouds
540,San Felipe,VE,10.3399,-68.7425,86.45,45,33,8.52,scattered clouds
541,Praya,CV,14.9215,-23.5087,77.54,65,0,17.27,clear sky
542,Lashio,MM,22.9333,97.75,57.02,98,2,1.34,clear sky
543,Calamar,CO,10.2511,-74.9146,91.35,46,25,5.88,scattered clouds
544,Provost,CA,52.3501,-110.2683,36.05,66,19,20.65,few clouds
545,Laguna De Duero,ES,41.5815,-4.7233,53.4,88,0,4.61,clear sky
546,Dzaoudzi,YT,-12.7887,45.2699,80.49,78,0,3.44,clear sky
547,Howard Springs,AU,-12.497,131.047,84.11,96,82,0.49,broken clouds
548,Villa Maria,AR,-32.4075,-63.2402,90.81,31,34,7.36,scattered clouds
549,Jiayuguan,CN,39.8167,98.3,21.67,49,0,5.88,clear sky
550,Bethal,ZA,-26.4579,29.4655,59.56,90,89,3.27,moderate rain
551,Mount Isa,AU,-20.7333,139.5,74.97,20,0,1.14,clear sky
552,Gigmoto,PH,13.7796,124.39,79.0,89,100,14.63,moderate rain
553,Bareli,IN,28.35,79.4167,58.87,48,3,3.6,clear sky
554,Muros,ES,42.7762,-9.0603,58.08,91,65,2.17,broken clouds
555,Taree,AU,-31.9,152.4667,62.35,77,40,6.91,scattered clouds
556,Saravan,AM,39.7196,45.6483,18.25,47,25,6.2,scattered clouds
557,Ayan,RU,56.45,138.1667,12.99,74,100,9.71,overcast clouds
558,Komsomolskiy,UZ,40.4272,71.7189,34.52,55,1,9.22,haze
559,Solwezi,ZM,-12.1688,26.3894,73.53,36,69,3.02,broken clouds
560,Svirstroy,RU,60.7999,33.7248,20.77,76,100,8.63,light snow
561,Mari-Turek,RU,56.7895,49.6235,1.96,98,48,5.61,scattered clouds
562,Eganville,CA,45.5334,-77.0994,34.93,96,100,12.8,overcast clouds
563,Xixiang,CN,35.1628,112.865,45.97,47,98,8.08,overcast clouds
564,Beitbridge,ZW,-22.2167,30.0,91.94,24,51,14.58,broken clouds
565,Casma,CL,-41.0082,-73.1244,60.4,70,73,7.02,broken clouds
566,Mayumba,GA,-3.432,10.6554,76.42,94,99,2.71,light rain
567,Solenzo,BF,12.1833,-4.0833,85.95,9,85,4.25,overcast clouds
568,Alugan,PH,12.2188,125.4808,79.93,87,49,14.85,scattered clouds
569,Andenes,NO,69.3143,16.1194,25.07,86,92,6.91,overcast clouds
570,Reconquista,AR,-29.15,-59.65,89.91,32,80,4.88,broken clouds
571,Ajdabiya,LY,30.7554,20.2263,60.37,36,0,10.6,clear sky
572,Aleksandrov Gay,RU,50.147,48.5704,24.1,71,6,10.85,clear sky
573,Satipo,PE,-11.2522,-74.6386,89.53,47,57,1.25,broken clouds
574,Ballina,AU,-28.8667,153.5667,66.38,94,90,4.61,moderate rain
575,Ivanishchi,RU,55.7742,40.4273,8.67,91,25,6.58,scattered clouds
576,Tanete,ID,-3.9443,119.7848,75.99,94,99,3.74,overcast clouds
577,Morondava,MG,-20.2833,44.2833,81.68,77,13,12.08,few clouds
578,Burnie,AU,-41.0667,145.9167,52.92,68,70,10.6,broken clouds
579,Ancud,CL,-41.8697,-73.8203,60.42,79,55,20.56,light rain
580,Svetlaya,RU,46.5389,138.3297,27.32,77,92,4.25,overcast clouds
581,Mattru,SL,7.6244,-11.8332,81.25,73,88,5.5,overcast clouds
582,Kefamenanu,ID,-9.4467,124.4781,73.54,92,97,1.59,overcast clouds
583,Santa Rosa,PH,14.3122,121.1114,79.09,78,98,10.49,heavy intensity rain
584,Krasnoselkup,RU,65.7,82.4667,-1.82,96,97,12.26,overcast clouds
585,Itaituba,BR,-4.2761,-55.9836,86.16,74,40,4.61,light rain
586,Kartuzy,PL,54.3342,18.1974,27.77,95,90,4.61,mist
587,Erenhot,CN,43.6475,111.9767,11.64,64,0,8.14,clear sky
588,Awbari,LY,26.5921,12.7805,57.9,28,100,2.89,overcast clouds
589,Lerwick,GB,60.1545,-1.1494,46.4,93,100,27.96,overcast clouds
590,Mushie,CD,-3.0167,16.9,76.17,91,100,3.18,overcast clouds
591,Groningen,NL,53.25,6.75,36.03,96,90,1.99,fog
592,Karwar,IN,14.8,74.1333,78.19,70,15,7.43,few clouds
593,Port Augusta,AU,-32.5,137.7667,65.71,25,2,6.24,clear sky
594,Irpa Irpa,BO,-17.7167,-66.2667,80.6,34,99,2.33,overcast clouds
595,Toora-Khem,RU,52.4675,96.11,-8.52,100,89,1.83,overcast clouds
596,Raymondville,US,26.4815,-97.7831,71.82,47,83,25.39,broken clouds
597,Agustin Codazzi,CO,10.0341,-73.2361,89.58,30,70,5.1,broken clouds
598,Lasa,IT,46.6166,10.7002,27.63,94,40,8.5,scattered clouds
599,Ibague,CO,4.4389,-75.2322,75.06,100,75,3.44,mist
600,Nampa,US,43.5407,-116.5635,40.68,51,75,16.11,broken clouds
601,Amazar,RU,53.858,120.875,-4.68,97,85,3.85,overcast clouds
602,Bonavista,CA,48.6499,-53.1147,31.12,81,96,15.7,overcast clouds
603,Pachora,IN,20.6667,75.35,71.62,52,7,5.12,clear sky
604,Ayorou,NE,14.7308,0.9174,81.54,12,16,8.03,few clouds
605,Broome,US,42.2506,-75.833,54.01,81,90,3.0,mist
606,Jalu,LY,29.0331,21.5482,60.6,49,56,8.05,broken clouds
607,Dzhebariki-Khaya,RU,62.2167,135.8,-32.53,100,86,0.87,overcast clouds
608,Ngunguru,NZ,-35.6167,174.5,67.15,89,100,10.56,moderate rain
609,Sylva,RU,58.0348,56.7635,-4.63,99,39,3.31,scattered clouds
610,Grindavik,IS,63.8424,-22.4338,41.47,87,75,20.71,broken clouds
611,Mayskiy,RU,47.6931,40.1025,31.41,82,41,11.3,scattered clouds
612,Phuket,TH,8.0,98.25,75.42,83,20,3.44,few clouds
613,Geraldton,AU,-28.7667,114.6,64.81,72,40,10.36,scattered clouds
614,Izhma,RU,65.0083,53.9113,18.79,81,97,9.13,overcast clouds
615,Salamiyah,SY,35.0113,37.0532,55.78,52,0,8.93,clear sky
616,Vrangel,RU,42.7297,133.0839,35.69,68,80,9.6,broken clouds
617,Valparaiso,CL,-33.0393,-71.6273,65.84,67,90,11.5,overcast clouds
618,Sisimiut,GL,66.9395,-53.6735,18.48,93,99,2.55,light snow
619,Southbridge,US,42.0751,-72.0334,59.38,97,100,3.0,overcast clouds
620,Kanniyakumari,IN,8.0833,77.5667,79.65,81,7,20.13,clear sky
621,Nanchang,CN,28.6833,115.8833,54.43,70,58,12.19,broken clouds
622,Ladario,BR,-19.0047,-57.6017,82.69,78,40,10.36,light rain
623,Zlitan,LY,32.4674,14.5687,61.16,65,22,18.79,few clouds
624,Neyshabur,IR,36.2133,58.7958,44.55,51,0,3.85,clear sky
625,San Rafael Del Sur,NI,11.8485,-86.4384,83.37,49,3,11.86,clear sky
626,Znamenskoye,RU,57.1281,73.8282,0.05,98,37,5.32,scattered clouds
627,Narok,KE,-1.0783,35.8601,61.11,66,81,5.82,broken clouds
628,Cap-Aux-Meules,CA,47.3821,-61.8597,32.05,80,75,1.14,broken clouds
629,Pierre,US,44.3683,-100.351,35.06,67,2,11.01,clear sky
630,Elban,RU,50.1018,136.5094,16.16,97,100,1.86,light snow
631,Bandarbeyla,SO,9.4942,50.8122,77.54,80,8,23.11,clear sky
632,Westport,US,41.1415,-73.3579,58.55,97,100,1.99,overcast clouds
633,Zhanaozen,KZ,43.3,52.8,35.92,84,13,8.3,few clouds
634,Kamenka,RU,51.3223,42.7678,26.74,73,6,7.25,clear sky
635,Richards Bay,ZA,-28.783,32.0377,77.4,84,76,2.35,broken clouds
636,Hueyapan,MX,18.8667,-98.6667,70.81,25,74,4.41,broken clouds
637,Inirida,CO,3.8653,-67.9239,86.18,67,100,1.99,overcast clouds
638,Goulburn,AU,-34.75,149.7167,45.64,96,63,3.24,broken clouds
639,Havelock,US,34.8791,-76.9013,79.05,88,75,15.99,broken clouds
640,Tocopilla,CL,-22.092,-70.1979,70.0,56,8,6.89,clear sky
641,Verkhnevilyuysk,RU,63.4453,120.3167,-23.19,100,97,3.62,overcast clouds
642,Bridgetown,BB,13.1,-59.6167,84.69,70,75,21.85,broken clouds
643,Umm Lajj,SA,25.0213,37.2685,77.0,52,100,2.84,overcast clouds
644,Redlands,US,34.0556,-117.1825,61.12,39,17,0.69,few clouds
645,Fuling,CN,29.7022,107.3919,51.66,96,100,2.55,overcast clouds
646,Pafos,CY,34.7667,32.4167,64.31,62,0,3.44,clear sky
647,Adamovka,RU,51.5223,59.9396,15.93,83,100,21.77,overcast clouds
648,Krasnyy Chikoy,RU,50.3643,108.7512,-7.35,98,28,2.62,scattered clouds
649,Jawa,JO,31.8525,35.9393,56.98,54,7,0.0,haze
650,Newport,GB,51.5877,-2.9984,54.45,92,100,13.87,overcast clouds
651,Carutapera,BR,-1.195,-46.02,86.76,62,96,11.1,overcast clouds
652,Sioux Lookout,CA,50.1001,-91.917,14.38,92,20,5.75,few clouds
