City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
224,Sangar,63.9242,127.4739,-9.22,91,100,11.79,RU,2021-12-10 18:09:39
225,Clyde River,70.4692,-68.5914,-14.69,92,90,3.87,CA,2021-12-10 18:09:39
226,Goderich,43.7501,-81.7165,41.04,84,94,4.09,CA,2021-12-10 18:09:39
227,Digby,44.6169,-65.7655,25.59,66,100,7.92,CA,2021-12-10 18:05:42
228,Port Macquarie,-31.4333,152.9167,59.9,76,34,13.04,AU,2021-12-10 18:10:40
229,Tondano,1.3038,124.9112,71.69,90,50,2.24,ID,2021-12-10 18:10:40
230,Puerto Leguizamo,-0.1934,-74.7819,87.55,63,85,2.3,CO,2021-12-10 18:10:41
231,Mahon,39.8885,4.2658,52.36,93,75,4.61,ES,2021-12-10 18:10:41
232,Kaitangata,-46.2817,169.8464,56.93,77,100,3.74,NZ,2021-12-10 18:10:41
233,Praia Da Vitoria,38.7333,-27.0667,63.75,88,46,12.21,PT,2021-12-10 18:10:42
234,Vestmanna,62.1564,-7.1664,32.92,93,20,2.3,FO,2021-12-10 18:10:42
235,Port Blair,11.6667,92.75,79.36,79,5,10.56,IN,2021-12-10 18:10:42
236,Tura,25.5198,90.2201,60.67,54,0,2.53,IN,2021-12-10 18:10:43
237,Aransas Pass,27.9095,-97.15,86.22,86,40,17.0,US,2021-12-10 18:10:43
238,Murray Bridge,-35.1167,139.2667,58.69,78,12,4.38,AU,2021-12-10 18:10:43
239,Sur,22.5667,59.5289,72.91,56,0,6.35,OM,2021-12-10 18:10:44
240,Oranjemund,-28.55,16.4333,64.2,83,0,8.61,NA,2021-12-10 18:10:44
241,Ixtapa,20.7,-105.2,81.63,42,40,2.3,MX,2021-12-10 18:10:44
242,Niquelandia,-14.4739,-48.4597,81.79,72,89,3.2,BR,2021-12-10 18:10:45
243,Tessalit,20.1986,1.0114,73.72,7,100,9.73,ML,2021-12-10 18:10:45
244,Bubaque,11.2833,-15.8333,81.32,66,100,8.88,GW,2021-12-10 18:10:45
245,Temyasovo,52.9933,58.1014,-0.04,89,93,3.69,RU,2021-12-10 18:10:46
246,Port-Gentil,-0.7193,8.7815,81.81,78,43,6.46,GA,2021-12-10 18:10:46
247,Miguel Pereira,-22.4539,-43.4689,71.53,71,36,5.39,BR,2021-12-10 18:10:46
248,Matay,28.419,30.7792,65.34,37,92,3.78,EG,2021-12-10 18:10:47
249,Iberia,29.9502,-91.7507,81.01,78,90,17.27,US,2021-12-10 18:10:39
250,Turbo,8.0937,-76.7269,84.02,72,45,9.06,CO,2021-12-10 18:10:47
251,Oboyan,51.2098,36.2792,35.92,82,100,14.07,RU,2021-12-10 18:10:47
252,Cidreira,-30.1811,-50.2056,71.02,58,5,9.42,BR,2021-12-10 18:10:48
253,Sechura,-5.5569,-80.8222,78.84,59,78,8.75,PE,2021-12-10 18:10:48
254,Kavaratti,10.5669,72.642,82.27,74,16,4.41,IN,2021-12-10 18:10:49
255,Yvetot,49.6174,0.7581,45.73,79,12,17.45,FR,2021-12-10 18:10:49
256,College,64.8569,-147.8028,12.58,82,75,6.91,US,2021-12-10 18:10:49
257,Touros,-5.1989,-35.4608,88.7,64,68,14.81,BR,2021-12-10 18:08:03
258,Dingle,10.9995,122.6711,76.26,93,100,11.07,PH,2021-12-10 18:10:50
259,Tazovskiy,67.4667,78.7,0.28,96,100,19.06,RU,2021-12-10 18:10:50
260,Chuy,-33.6971,-53.4616,72.0,55,39,12.35,UY,2021-12-10 18:10:50
261,Montepuez,-13.1256,38.9997,75.87,64,41,9.82,MZ,2021-12-10 18:10:51
262,Champerico,14.3,-91.9167,94.77,70,8,5.95,GT,2021-12-10 18:10:51
263,Hamilton,39.1834,-84.5333,58.12,85,90,1.01,US,2021-12-10 18:09:46
264,Norwich,52.6278,1.2983,41.88,83,0,1.99,GB,2021-12-10 18:10:52
265,Teeli,51.0333,90.2333,-0.53,76,28,2.75,RU,2021-12-10 18:10:52
266,Waitati,-45.75,170.5667,53.8,92,100,6.35,NZ,2021-12-10 18:10:52
267,Vila Velha,-20.3297,-40.2925,82.35,81,40,3.0,BR,2021-12-10 18:10:53
268,Maningrida,-12.0667,134.2667,75.54,88,100,3.96,AU,2021-12-10 18:10:53
269,Mayo,38.8876,-76.5119,55.67,64,1,5.99,US,2021-12-10 18:10:53
270,Tigil,57.8,158.6667,21.87,97,100,1.97,RU,2021-12-10 18:10:54
271,Calvinia,-31.4707,19.776,67.3,38,0,11.43,ZA,2021-12-10 18:10:54
272,Azangaro,-14.9167,-70.2167,58.51,50,100,6.82,PE,2021-12-10 18:10:55
273,Mitu,1.1983,-70.1733,91.69,46,86,4.97,CO,2021-12-10 18:09:13
274,Challapata,-18.9,-66.7667,49.84,76,86,2.98,BO,2021-12-10 18:11:55
275,Verkhnevilyuysk,63.4453,120.3167,-4.92,97,100,4.16,RU,2021-12-10 18:11:55
276,Castelvetro Di Modena,44.5058,10.9464,41.67,97,100,4.56,IT,2021-12-10 18:11:56
277,Bokovskaya,49.229,41.8306,30.4,87,29,5.97,RU,2021-12-10 18:11:56
278,Atikokan,48.7555,-91.6216,25.59,83,85,6.53,CA,2021-12-10 18:11:56
279,Kizukuri,40.8061,140.3861,42.94,82,100,3.74,JP,2021-12-10 18:11:57
280,Alofi,-19.0595,-169.9187,76.24,81,100,12.57,NU,2021-12-10 18:11:57
281,Cotonou,6.3654,2.4183,82.35,76,54,9.86,BJ,2021-12-10 18:11:57
282,Tabatinga,-4.2525,-69.9381,77.09,88,75,4.61,BR,2021-12-10 18:11:58
283,Mananjary,-21.2167,48.3333,77.59,82,100,8.93,MG,2021-12-10 18:11:58
284,Bay Roberts,47.5999,-53.2648,28.51,65,47,8.99,CA,2021-12-10 18:07:41
285,Ormara,25.2088,64.6357,73.09,51,57,7.11,PK,2021-12-10 18:11:59
286,Camana,-16.6228,-72.7111,71.47,69,11,8.28,PE,2021-12-10 18:11:59
287,Sarankhola,22.3082,89.7897,67.87,73,0,3.91,BD,2021-12-10 18:11:59
